t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,r_m,E_spec
78.0,6744596.890166702,371124.80406769173,468242.96895799495,-676.5618552533666,4745.625774628994,5987.489593583085,6771009.696420411,-29392872.13998182
79.0,6743916.002676029,375870.19182207674,474230.1582447689,-685.2126889259399,4745.146690721618,5986.88514012508,6771009.946473204,-29392872.13998113
80.0,6743226.464788849,380615.097449135,480216.7392382451,-693.8626427142297,4744.661520285614,5986.273007379127,6771010.199702814,-29392872.139980428
81.0,6742528.277390601,385359.514862648,486202.70425952715,-702.5117055109964,4744.170263945355,5985.653196132989,6771010.456108919,-29392872.139979705
82.0,6741821.441377828,390103.4379770257,492188.0456305111,-711.1598662101522,4743.67292233305,5985.0257071843125,6771010.715691187,-29392872.139978983
83.0,6741105.957658181,394846.8607073141,498172.75567389576,-719.8071137067753,4743.169496088735,5984.390541340625,6771010.978449287,-29392872.139978245
84.0,6740381.827150415,399589.7769692032,504156.82671319233,-728.4534368971242,4742.659985860279,5983.74769941933,6771011.244382879,-29392872.1399775
85.0,6739649.050784387,404332.1806790347,510140.2510727344,-737.0988246786521,4742.1443923033785,5983.097182247714,6771011.513491621,-29392872.139976755
86.0,6738907.629501057,409074.06575380993,516123.0210776878,-745.7432659500213,4741.622716081559,5982.438990662936,6771011.785775171,-29392872.13997599
87.0,6738157.564252486,413815.4261111978,522105.1290540603,-754.3867496111172,4741.094957866173,5981.7731255120325,6771012.061233177,-29392872.139975227
88.0,6737398.856001834,418556.2556695423,528086.5673287119,-763.0292645630635,4740.561118336401,5981.099587651916,6771012.339865285,-29392872.139974445
89.0,6736631.50572336,423296.5483478706,534067.3282293641,-771.6707997082356,4740.021198179247,5980.4183779493715,6771012.621671138,-29392872.139973663
90.0,6735855.514402418,428036.29806590074,540047.4040846106,-780.3113439502754,4739.475198089543,5979.729497281057,6771012.906650375,-29392872.139972866
91.0,6735070.88303546,432775.49874404963,546026.7872239263,-788.9508861941056,4738.923118769942,5979.032946533501,6771013.194802629,-29392872.139972053
92.0,6734277.61263003,437514.14430344064,552005.4699776777,-797.5894153459441,4738.364960930923,5978.328726603103,6771013.486127528,-29392872.13997125
93.0,6733475.704204768,442252.22866591153,557983.4446771325,-806.226920313318,4737.800725290785,5977.616838396131,6771013.780624703,-29392872.13997042
94.0,6732665.158789404,446989.74575402227,563960.7036544699,-814.8633900050786,4737.230412575647,5976.897282828723,6771014.078293771,-29392872.139969595
95.0,6731845.977424758,451726.68949106283,569937.2392427899,-823.4988133314149,4736.654023519453,5976.170060826881,6771014.379134351,-29392872.139968757
96.0,6731018.161162741,456463.0538010611,575913.0437761237,-832.1331792038687,4736.071558863962,5975.435173326474,6771014.683146058,-29392872.139967915
97.0,6730181.71106635,461198.8326087907,581888.109589443,-840.7664765353484,4735.483019358753,5974.692621273235,6771014.990328501,-29392872.139967054
98.0,6729336.62820967,465934.01983977866,587862.4290186702,-849.3986942401434,4734.888405761221,5973.94240562276,6771015.300681286,-29392872.13996619
99.0,6728482.913677869,470668.6094203132,593835.9944006886,-858.0298212339388,4734.28771883658,5973.184527340507,6771015.614204012,-29392872.139965326
100.0,6727620.5685672015,475402.5952774518,599808.7980733513,-866.6598464338294,4733.680959357857,5972.418987401795,6771015.930896279,-29392872.13996444
101.0,6726749.593985002,480135.9713390289,605780.8323754921,-875.288758758334,4733.068128105895,5971.645786791801,6771016.250757681,-29392872.139963537
102.0,6725869.991049685,484868.7315336636,611752.0896469349,-883.9165471274098,4732.449225869349,5970.86492650556,6771016.573787805,-29392872.139962643
103.0,6724981.7608907465,489600.86979076755,617722.5622285033,-892.5432004624669,4731.824253444686,5970.076407547966,6771016.899986236,-29392872.139961742
104.0,6724084.90464876,494332.38004055293,623692.2424620308,-901.1687076863822,4731.193211636187,5969.280230933765,6771017.229352559,-29392872.139960818
105.0,6723179.4234753745,499063.25621404,629661.1226903709,-909.7930577235142,4730.55610125594,5968.47639768756,6771017.561886347,-29392872.139959883
106.0,6722265.318533313,503793.49224306486,635629.1952574061,-918.4162394997169,4729.912923123845,5967.664908843806,6771017.897587174,-29392872.139958955
107.0,6721342.590996374,508523.0820602877,641596.4525080585,-927.0382419423545,4729.2636780676075,5966.845765446808,6771018.236454608,-29392872.139958017
108.0,6720411.242049428,513252.0195992001,647562.8867882997,-935.6590539803153,4728.608366922742,5966.018968550724,6771018.578488216,-29392872.13995706
109.0,6719471.272888414,517980.29879413324,653528.49044516,-944.2786645440264,4727.946990532568,5965.184519219556,6771018.92368756,-29392872.13995608
110.0,6718522.684720339,522707.9135802653,659493.2558267388,-952.8970625654675,4727.279549748209,5964.342418527158,6771019.272052191,-29392872.13995512
111.0,6717565.478763282,527434.8578936297,665457.1752822142,-961.5142369781859,4726.606045428595,5963.492667557226,6771019.623581667,-29392872.139954135
112.0,6716599.656246383,532161.1256711225,671420.2411618531,-970.1301767173101,4725.926478440456,5962.635267403303,6771019.978275535,-29392872.13995316
113.0,6715625.2184098475,536886.7108505105,677382.4458170207,-978.7448707195646,4725.240849658325,5961.770219168775,6771020.336133339,-29392872.13995216
114.0,6714642.166504944,541611.6073704391,683343.7816001906,-987.3583079232839,4724.549159964534,5960.897523966868,6771020.697154621,-29392872.139951155
115.0,6713650.501794001,546335.8091704396,689304.2408649544,-995.970477268427,4723.851410249215,5960.01718292065,6771021.0613389155,-29392872.139950134
116.0,6712650.225550408,551059.3101909376,695263.8159660319,-1004.5813676965917,4723.147601410299,5959.129197163026,6771021.4286857555,-29392872.13994911
117.0,6711641.339058608,555782.1043732603,701222.4992592805,-1013.1909681510285,4722.437734353512,5958.233567836739,6771021.799194669,-29392872.139948077
118.0,6710623.843614105,560504.1856596445,707180.2831017054,-1021.7992675766554,4721.721809992376,5957.330296094367,6771022.172865182,-29392872.13994704
119.0,6709597.740523455,565225.547993245,713137.1598514692,-1030.4062549200721,4720.999829248209,5956.419383098324,6771022.549696813,-29392872.13994598
120.0,6708563.031104265,569946.1853181409,719093.1218679021,-1039.0119191295737,4720.27179305012,5955.500830020855,6771022.929689079,-29392872.13994492
