t_s,x_m,y_m,vx_mps,vy_mps,r_m,E_spec
136.0,6690838.337697178,1039000.4824928299,-1176.5135888726597,7579.195498983687,6771029.439001035,-29392872.13992677
137.0,6689657.532988376,1046579.0116365002,-1185.0950706072422,7577.857928051977,6771029.872646122,-29392872.139925558
138.0,6688468.147555964,1054156.198348934,-1193.6750305834873,7576.510637374171,6771030.30944244,-29392872.139924336
139.0,6687270.182927209,1061732.0329112487,-1202.2534577846232,7575.15362868406,6771030.749389428,-29392872.13992312
140.0,6686063.640640395,1069306.5056063023,-1210.8303411958577,7573.7869037279415,6771031.192486522,-29392872.13992188
141.0,6684848.522244818,1076879.6067187048,-1219.405669804395,7572.410464264614,6771031.638733151,-29392872.13992064
142.0,6683624.829300785,1084451.3265348317,-1227.9794325994485,7571.024312065377,6771032.088128745,-29392872.139919385
143.0,6682392.563379618,1092021.6553428357,-1236.5516185722552,7569.628448914025,6771032.540672725,-29392872.139918115
144.0,6681151.726063641,1099590.5834326597,-1245.12221671609,7568.222876606852,6771032.996364509,-29392872.139916852
145.0,6679902.3189461855,1107158.1010960492,-1253.69121602628,7566.807596952641,6771033.455203514,-29392872.13991557
146.0,6678644.343631588,1114724.1986265648,-1262.258605500219,7565.382611772668,6771033.91718915,-29392872.139914274
147.0,6677377.801735184,1122288.8663195947,-1270.8243741373808,7563.947922900696,6771034.382320822,-29392872.139912996
148.0,6676102.694883312,1129852.0944723664,-1279.3885109393345,7562.503532182974,6771034.850597936,-29392872.139911693
149.0,6674819.024713305,1137413.8733839605,-1287.9510049097585,7561.049441478235,6771035.322019889,-29392872.139910374
150.0,6673526.792873492,1144974.1933553226,-1296.5118450544537,7559.585652657694,6771035.796586076,-29392872.139909048
151.0,6672226.001023197,1152533.0446892758,-1305.0710203813592,7558.112167605041,6771036.274295888,-29392872.13990771
152.0,6670916.65083273,1160090.4176905327,-1313.6285199005652,7556.628988216445,6771036.75514871,-29392872.13990637
153.0,6669598.743983396,1167646.3026657086,-1322.1843326243281,7555.136116400548,6771037.239143926,-29392872.13990502
154.0,6668272.282167482,1175200.6899233337,-1330.7384475670842,7553.633554078465,6771037.726280914,-29392872.139903653
155.0,6666937.267088261,1182753.5697738654,-1339.2908537454641,7552.121303183775,6771038.216559047,-29392872.139902297
156.0,6665593.700459991,1190304.9325297012,-1347.8415401783068,7550.599365662528,6771038.7099776985,-29392872.13990091
157.0,6664241.584007905,1197854.7685051905,-1356.3904958866738,7549.067743473233,6771039.2065362325,-29392872.13989954
158.0,6662880.919468217,1205403.0680166476,-1364.9377098938637,7547.526438586865,6771039.706234012,-29392872.139898147
159.0,6661511.708588116,1212949.8213823643,-1373.4831712254258,7545.975452986854,6771040.209070396,-29392872.139896747
160.0,6660133.953125766,1220495.0189226214,-1382.026868909175,7544.414788669087,6771040.715044739,-29392872.139895335
161.0,6658747.654850298,1228038.6509597022,-1390.568791975205,7542.844447641904,6771041.22415639,-29392872.139893916
162.0,6657352.815541815,1235580.707817905,-1399.1089294559035,7541.264431926094,6771041.7364046965,-29392872.139892485
163.0,6655949.436991385,1243121.1798235544,-1407.6472703859658,7539.674743554899,6771042.251788999,-29392872.13989106
164.0,6654537.521001042,1250660.0573050147,-1416.1838038024089,7538.075384574,6771042.770308638,-29392872.13988962
165.0,6653117.06938378,1258197.3305927024,-1424.7185187445857,7536.466357041526,6771043.291962947,-29392872.139888164
166.0,6651688.0839635525,1265732.990019098,-1433.2514042541995,7534.847663028043,6771043.816751256,-29392872.1398867
167.0,6650250.566575272,1273267.0259187585,-1441.7824493753183,7533.219304616556,6771044.34467289,-29392872.139885217
168.0,6648804.519064803,1280799.428628331,-1450.3116431543879,7531.581283902502,6771044.875727172,-29392872.139883753
169.0,6647349.943288963,1288330.1884865635,-1458.8389746402472,7529.933602993753,6771045.409913422,-29392872.13988225
170.0,6645886.841115521,1295859.2958343185,-1467.364432884142,7528.276264010608,6771045.947230949,-29392872.139880765
171.0,6644415.214423194,1303386.741014585,-1475.8880069397385,7526.609269085795,6771046.487679067,-29392872.13987927
172.0,6642935.065101641,1310912.5143724903,-1484.4096858631385,7524.932620364461,6771047.031257083,-29392872.13987775
173.0,6641446.395051467,1318436.6062553138,-1492.929458712893,7523.246320004179,6771047.577964297,-29392872.13987622
174.0,6639949.206184215,1325959.0070124986,-1501.447314550016,7521.550370174937,6771048.127800005,-29392872.139874708
175.0,6638443.500422367,1333479.7069956637,-1509.9632424379993,7519.844773059137,6771048.680763505,-29392872.13987316
176.0,6636929.2796993395,1340998.696558617,-1518.4772314428262,7518.129530851596,6771049.236854086,-29392872.1398716
177.0,6635406.545959482,1348515.966057367,-1526.989270632986,7516.4046457595405,6771049.796071033,-29392872.139870036
178.0,6633875.301158073,1356031.505850136,-1535.4993490794877,7514.6701200026,6771050.358413626,-29392872.139868475
179.0,6632335.547261323,1363545.3062973723,-1544.0074558558742,7512.925955812812,6771050.923881148,-29392872.13986689
180.0,6630787.286246362,1371057.3577617619,-1552.5135800382366,7511.172155434612,6771051.492472868,-29392872.139865305
181.0,6629230.520101246,1378567.6506082416,-1561.0177107052282,7509.408721124835,6771052.0641880585,-29392872.13986372
182.0,6627665.250824952,1386076.1752040114,-1569.5198369380787,7507.63565515271,6771052.639025984,-29392872.139862116
183.0,6626091.48042737,1393582.9219185468,-1578.0199478206082,7505.852959799857,6771053.216985907,-29392872.139860503
184.0,6624509.210929311,1401087.881123611,-1586.5180324392413,7504.060637360287,6771053.798067087,-29392872.139858875
185.0,6622918.444362492,1408591.0431932672,-1595.0140798830212,7502.258690140396,6771054.382268776,-29392872.139857244
186.0,6621319.182769545,1416092.3985038917,-1603.508079243624,7500.447120458962,6771054.969590224,-29392872.139855605
187.0,6619711.428204006,1423591.9374341853,-1612.0000196153726,7498.625930647145,6771055.560030676,-29392872.139853954
188.0,6618095.182730314,1431089.6503651862,-1620.4898900952505,7496.7951230484805,6771056.153589375,-29392872.139852304
189.0,6616470.448423815,1438585.5276802825,-1628.9776797829168,7494.954700018878,6771056.750265559,-29392872.139850643
190.0,6614837.227370749,1446079.559765224,-1637.4633777807192,7493.104663926618,6771057.350058462,-29392872.139848974
191.0,6613195.521668254,1453571.7370081358,-1645.9469731937086,7491.245017152349,6771057.952967313,-29392872.139847286
192.0,6611545.333424362,1461062.0497995287,-1654.4284551296532,7489.375762089083,6771058.558991338,-29392872.139845595
193.0,6609886.664757996,1468550.4885323138,-1662.9078126990528,7487.4969011421945,6771059.168129761,-29392872.13984389
194.0,6608219.517798965,1476037.043601813,-1671.385035015152,7485.608436729416,6771059.780381796,-29392872.139842175
195.0,6606543.894687966,1483521.7054057727,-1679.8601111939552,7483.710371280836,6771060.395746659,-29392872.13984046
196.0,6604859.797576578,1491004.4643443748,-1688.3330303542402,7481.802707238893,6771061.01422356,-29392872.139838733
197.0,6603167.228627259,1498485.3108202503,-1696.8037816175727,7479.885447058377,6771061.635811703,-29392872.139836997
198.0,6601466.1900133435,1505964.2352384913,-1705.2723541083194,7477.958593206422,6771062.260510292,-29392872.139835253
199.0,6599756.683919042,1513441.228006663,-1713.738736953663,7476.022148162503,6771062.888318524,-29392872.139833506
200.0,6598038.712539436,1520916.2795348163,-1722.2029192836158,7474.076114418437,6771063.519235593,-29392872.139831744
201.0,6596312.278080475,1528389.3802355,-1730.664890231034,7472.120494478377,6771064.153260687,-29392872.13982999
202.0,6594577.382758974,1535860.520523773,-1739.1246389316311,7470.1552908588055,6771064.790392997,-29392872.139828194
203.0,6592834.028802612,1543329.6908172176,-1747.582154523993,7468.180506088537,6771065.4306317,-29392872.139826413
204.0,6591082.218449927,1550796.8815359501,-1756.0374261495913,7466.196142708712,6771066.073975976,-29392872.139824618
205.0,6589321.953950314,1558262.0831026349,-1764.4904429527971,7464.202203272792,6771066.720424999,-29392872.13982281
206.0,6587553.237564022,1565725.2859424958,-1772.941194080896,7462.19869034656,6771067.369977937,-29392872.139820993
207.0,6585776.071562152,1573186.4804833282,-1781.3896686841006,7460.185606508116,6771068.022633959,-29392872.139819168
208.0,6583990.458226654,1580645.6571555121,-1789.8358559155663,7458.1629543478675,6771068.678392223,-29392872.139817342
209.0,6582196.399850321,1588102.806392024,-1798.2797449314041,7456.130736468538,6771069.33725189,-29392872.139815506
210.0,6580393.898736791,1595557.9186284493,-1806.7213248906949,7454.088955485153,6771069.999212113,-29392872.139813665
211.0,6578582.957200539,1603010.9843029946,-1815.1605849555035,7452.037614025041,6771070.664272043,-29392872.139811818
212.0,6576763.57756688,1610461.9938564994,-1823.5975142908926,7449.976714727831,6771071.332430826,-29392872.13980995
213.0,6574935.762171958,1617910.9377324502,-1832.0321020649371,7447.906260245447,6771072.0036876025,-29392872.139808074
214.0,6573099.5133627495,1625357.8063769904,-1840.4643374487375,7445.826253242105,6771072.678041511,-29392872.139806196
215.0,6571254.8334970595,1632802.5902389344,-1848.8942096164344,7443.73669639431,6771073.355491687,-29392872.139804307
216.0,6569401.724943516,1640245.2797697792,-1857.3217077452223,7441.637592390852,6771074.036037258,-29392872.13980242
217.0,6567540.190081568,1647685.8654237164,-1865.7468210153634,7439.5289439328035,6771074.719677353,-29392872.139800515
218.0,6565670.231301486,1655124.3376576449,-1874.169538610202,7437.410753733515,6771075.406411094,-29392872.13979859
219.0,6563791.851004348,1662560.6869311833,-1882.589849716178,7435.283024518611,6771076.096237597,-29392872.139796678
220.0,6561905.0516020525,1669994.903706682,-1891.007743522841,7433.145759025988,6771076.789155978,-29392872.139794745
221.0,6560009.835517302,1677426.9784492352,-1899.423209222865,7430.998960005811,6771077.485165346,-29392872.139792804
222.0,6558106.205183607,1684856.9016266936,-1907.8362360120605,7428.842630220506,6771078.18426481,-29392872.139790855
223.0,6556194.163045278,1692284.6637096764,-1916.2468130893906,7426.676772444764,6771078.886453468,-29392872.139788903
224.0,6554273.711557427,1699710.2551715833,-1924.6549296569838,7424.501389465528,6771079.591730422,-29392872.139786933
225.0,6552344.853185964,1707133.6664886074,-1933.0605749201482,7422.316484081997,6771080.300094766,-29392872.139784962
226.0,6550407.590407588,1714554.8881397473,-1941.463738087385,7420.12205910562,6771081.011545589,-29392872.13978297
227.0,6548461.925709789,1721973.9106068187,-1949.8644083704035,7417.91811736009,6771081.726081978,-29392872.139780983
228.0,6546507.861590846,1729390.7243744675,-1958.2625749841336,7415.704661681343,6771082.443703015,-29392872.139778983
229.0,6544545.400559821,1736805.3199301814,-1966.6582271467412,7413.481694917554,6771083.164407781,-29392872.139776967
230.0,6542574.545136553,1744217.6877643026,-1975.0513540796408,7411.249219929132,6771083.888195347,-29392872.139774956
231.0,6540595.297851662,1751627.8183700396,-1983.4419450075104,7409.007239588717,6771084.615064787,-29392872.139772933
232.0,6538607.661246539,1759035.70224348,-1991.829989158305,7406.755756781178,6771085.345015166,-29392872.139770888
233.0,6536611.637873346,1766441.329883602,-2000.2154757632704,7404.494774403606,6771086.078045546,-29392872.139768846
234.0,6534607.230295013,1773844.6917922872,-2008.5983940569577,7402.224295365312,6771086.814154987,-29392872.13976679
235.0,6532594.441085232,1781245.7784743328,-2016.978733277236,7399.944322587823,6771087.553342544,-29392872.13976473
236.0,6530573.272828459,1788644.580437463,-2025.3564826653078,7397.654859004879,6771088.295607266,-29392872.139762662
237.0,6528543.728119902,1796041.0881923423,-2033.7316314657219,7395.355907562426,6771089.040948202,-29392872.139760584
238.0,6526505.809565528,1803435.2922525876,-2042.1041689263875,7393.047471218618,6771089.789364396,-29392872.139758483
239.0,6524459.5197820505,1810827.1831347793,-2050.474084298588,7390.729552943807,6771090.540854882,-29392872.139756385
240.0,6522404.861396932,1818216.751358475,-2058.8413668369953,7388.402155720542,6771091.295418701,-29392872.139754277
241.0,6520341.837048378,1825603.9874462206,-2067.2060057996837,7386.065282543567,6771092.05305488,-29392872.13975216
242.0,6518270.449385334,1832988.8819235624,-2075.5679904481426,7383.718936419813,6771092.813762448,-29392872.13975004
243.0,6516190.701067482,1840371.4253190602,-2083.9273100472915,7381.363120368396,6771093.577540427,-29392872.139747914
244.0,6514102.594765238,1847751.6081642993,-2092.2839538654944,7378.997837420616,6771094.344387839,-29392872.139745776
245.0,6512006.133159751,1855129.4209939016,-2100.637911174572,7376.623090619946,6771095.114303696,-29392872.139743626
246.0,6509901.3189428905,1862504.8543455391,-2108.989171249816,7374.238883022035,6771095.887287011,-29392872.139741465
247.0,6507788.1548172515,1869877.8987599455,-2117.337723370005,7371.845217694701,6771096.663336792,-29392872.139739297
248.0,6505666.64349615,1877248.5447809284,-2125.6835568174147,7369.442097717927,6771097.442452041,-29392872.139737133
249.0,6503536.787703617,1884616.7829553813,-2134.026660877835,7367.029526183856,6771098.224631759,-29392872.139734946
250.0,6501398.590174394,1891982.603833296,-2142.367024840583,7364.60750619679,6771099.009874942,-29392872.139732763
251.0,6499252.053653935,1899345.9979677747,-2150.7046379985145,7362.176040873184,6771099.79818058,-29392872.139730565
